BldgType,GrLivArea,TotalBsmtSF,OverallQual,GarageCars,GarageArea,Neighborhood,YearBuilt,YearRemodAdd,YrSold,SaleType,SaleCondition,TotRmsAbvGrd,FullBath,@1stFlrSF,@2ndFlrSF,SalePrice,Foundation
Townhouse End Unit,1506,1362,7,2,440,Blmngtn,2005,2005,2006,WD,Normal,6,2,1506,0,213490,PConc
Townhouse End Unit,1567,1520,8,3,648,Blmngtn,2006,2006,2006,New,Partial,7,2,1567,0,264561,PConc
Townhouse End Unit,1500,1356,7,3,648,Blmngtn,2006,2006,2006,New,Partial,6,2,1500,0,246578,PConc
Single Family Residential,1838,732,5,2,372,Gilbert,2005,2005,2006,WD,Normal,7,2,734,1104,192140,PConc
Single Family Residential,1509,783,6,2,393,Gilbert,2002,2003,2006,WD,Normal,7,2,807,702,183200,PConc
Single Family Residential,1414,707,8,2,403,Gilbert,2004,2004,2006,WD,Normal,6,2,707,707,178000,PConc
Single Family Residential,1598,848,7,2,433,Gilbert,2004,2005,2006,WD,Normal,7,2,848,750,201490,PConc
Single Family Residential,1936,1406,8,2,504,Gilbert,2000,2000,2006,WD,Normal,7,2,1454,482,230500,PConc
Single Family Residential,1509,783,7,2,393,Gilbert,2003,2003,2006,WD,Normal,8,2,807,702,180000,PConc
Single Family Residential,1664,953,6,2,460,Gilbert,2000,2000,2006,WD,Normal,7,2,953,711,172400,PConc
Single Family Residential,1889,982,6,2,431,Gilbert,2000,2000,2006,WD,Normal,9,2,1008,881,215000,PConc
Single Family Residential,1886,930,7,2,431,Gilbert,1998,1999,2006,WD,Normal,10,2,956,930,199900,PConc
Single Family Residential,1671,959,6,2,472,Gilbert,2000,2000,2006,WD,Normal,7,2,959,712,173000,PConc
Single Family Residential,2322,1035,7,3,617,Gilbert,2006,2006,2006,New,Partial,8,3,1082,1240,287602,PConc
Single Family Residential,2291,975,7,2,429,Gilbert,1999,1999,2006,WD,Normal,8,2,1005,1286,230000,PConc
Single Family Residential,2392,1396,8,3,870,NoRidge,1997,1998,2006,WD,Normal,7,2,1407,985,348000,PConc
Single Family Residential,1976,1044,8,3,885,NoRidge,1998,1998,2006,WD,Normal,7,2,1079,897,286000,PConc
Single Family Residential,2234,1160,8,3,768,NoRidge,2000,2000,2006,WD,Normal,7,2,1205,1029,300000,PConc
Single Family Residential,3627,1930,10,3,807,NoRidge,1995,1996,2006,WD,Normal,10,3,1831,1796,625000,PConc
Single Family Residential,2855,1540,9,3,774,NoRidge,2000,2000,2006,WD,Normal,9,2,1540,1315,405000,PConc
Single Family Residential,1924,1086,8,2,592,NoRidge,1998,1998,2006,WD,Normal,7,2,1086,838,280000,PConc
Single Family Residential,2263,1141,8,2,420,NoRidge,1998,1998,2006,WD,Abnorml,10,2,1165,1098,258000,PConc
Single Family Residential,2726,1342,8,3,725,NoRidge,1995,1995,2006,WD,Normal,9,2,1358,1368,350000,PConc
Single Family Residential,3500,1733,9,3,959,NoRidge,1993,1994,2006,WD,Normal,11,3,1933,1567,584500,PConc
Single Family Residential,2494,1290,8,3,803,NoRidge,1994,1995,2006,WD,Normal,9,2,1305,1189,321000,PConc
Single Family Residential,2526,1165,8,3,844,NoRidge,1994,1994,2006,WD,Normal,8,2,1203,1323,290000,PConc
Single Family Residential,2799,1286,8,3,704,NoRidge,1993,1993,2006,WD,Normal,8,2,1565,1234,315000,PConc
Single Family Residential,1964,1100,8,2,760,Somerst,2005,2006,2006,New,Partial,8,2,1116,848,252000,PConc
Single Family Residential,1670,1670,8,3,928,Somerst,2006,2006,2006,New,Partial,6,2,1670,0,336820,PConc
Single Family Residential,2097,2077,8,3,1134,Somerst,2005,2006,2006,New,Partial,8,1,2097,0,423000,PConc
Single Family Residential,1660,1660,8,2,500,Somerst,2006,2006,2006,New,Partial,8,2,1660,0,290000,PConc
Single Family Residential,1616,1616,7,3,834,Somerst,2005,2005,2006,WD,Normal,7,2,1616,0,232000,PConc
Single Family Residential,1504,1504,8,2,510,Somerst,2006,2006,2006,New,Partial,7,2,1504,0,199000,PConc
Single Family Residential,1278,1278,8,2,584,Somerst,2006,2006,2006,New,Partial,5,2,1278,0,198600,PConc
Single Family Residential,2640,2036,9,3,792,Somerst,2006,2006,2006,New,Partial,11,3,2036,604,405749,PConc
Single Family Residential,1489,1489,8,2,776,Somerst,2006,2006,2006,New,Partial,7,2,1489,0,232600,PConc
Single Family Residential,1939,1095,8,3,1053,Somerst,2006,2006,2006,New,Partial,8,2,1095,844,266000,PConc
Single Family Residential,1553,756,7,2,615,Somerst,2005,2006,2006,New,Partial,6,2,756,797,186500,PConc
Single Family Residential,1716,858,6,2,615,Somerst,2005,2005,2006,WD,Normal,7,2,858,858,200825,PConc
Single Family Residential,1576,770,7,2,614,Somerst,2006,2006,2006,New,Partial,6,2,778,798,197000,PConc
Single Family Residential,1262,1262,6,2,572,Somerst,2006,2006,2006,New,Partial,5,2,1262,0,185000,PConc
Single Family Residential,1266,1257,7,2,453,Somerst,2005,2005,2006,WD,Normal,6,2,1266,0,176000,PConc
Single Family Residential,1301,1293,7,2,572,Somerst,2006,2006,2006,New,Partial,5,2,1301,0,187750,PConc
Single Family Residential,1142,1142,6,0,0,SawyerW,2005,2005,2006,WD,Normal,5,1,1142,0,139500,PConc
Single Family Residential,1400,1400,7,2,612,SawyerW,2005,2006,2006,New,Partial,6,2,1400,0,186800,PConc
Single Family Residential,1131,1131,6,0,0,SawyerW,2005,2006,2006,New,Partial,6,1,1131,0,132000,PConc
Single Family Residential,1141,1141,6,2,484,SawyerW,2005,2005,2006,WD,Abnorml,6,1,1141,0,142500,PConc
Single Family Residential,1158,1158,6,2,576,SawyerW,2004,2004,2006,New,Partial,5,1,1158,0,158000,PConc
Single Family Residential,1686,891,7,2,462,SawyerW,2005,2005,2006,WD,Normal,8,2,891,795,184000,PConc
Single Family Residential,1585,784,7,2,449,SawyerW,2005,2005,2006,WD,Normal,7,2,831,754,184900,PConc
Single Family Residential,1837,941,6,2,688,SawyerW,1997,1998,2006,WD,Normal,7,2,941,896,187000,PConc
Single Family Residential,1603,761,6,2,484,SawyerW,1992,1992,2006,WD,Normal,7,2,810,793,175900,PConc
Single Family Residential,1731,836,6,2,462,SawyerW,1992,1993,2006,WD,Family,7,2,844,887,248500,PConc
Townhouse End Unit,1398,1398,6,2,542,SawyerW,1990,1991,2006,WD,Normal,5,2,1398,0,172000,PConc
Townhouse End Unit,1217,1217,6,2,484,SawyerW,1991,1991,2006,WD,Normal,5,2,1217,0,151000,PConc
Single Family Residential,1320,636,6,2,472,SawyerW,1994,1994,2006,WD,Normal,6,2,636,684,150000,PConc
Single Family Residential,1056,1056,4,1,384,SawyerW,1966,1966,2006,WD,Normal,5,1,1056,0,107000,CBlock
Single Family Residential,965,828,5,1,300,SawyerW,1965,1965,2006,WD,Abnorml,6,1,965,0,119900,CBlock
Single Family Residential,988,988,5,2,624,Sawyer,1962,1962,2006,WD,Normal,6,1,988,0,129500,CBlock
Duplex,1728,1728,5,2,504,Sawyer,1963,1963,2006,ConLI,Abnorml,10,2,1728,0,125000,CBlock
Duplex,1654,0,6,2,528,Sawyer,1977,1977,2006,WD,Normal,10,2,1286,368,119500,CBlock
Single Family Residential,1211,864,5,2,576,Sawyer,1962,2002,2006,WD,Normal,6,1,1211,0,144000,CBlock
Single Family Residential,1212,506,6,2,492,Sawyer,1977,1995,2006,WD,Normal,6,1,1212,0,151000,CBlock
Single Family Residential,984,984,5,1,310,Sawyer,1965,1965,2006,WD,Normal,5,1,984,0,126000,CBlock
Single Family Residential,909,882,5,1,294,Sawyer,1968,1968,2006,COD,Normal,5,1,909,0,116000,CBlock
Single Family Residential,925,925,5,2,484,Sawyer,1963,1963,2006,WD,Normal,5,1,925,0,133500,PConc
Single Family Residential,1024,1024,5,1,308,Sawyer,1965,1965,2006,WD,Normal,5,1,1024,0,120875,CBlock
Single Family Residential,935,935,5,1,288,Sawyer,1965,1965,2006,WD,Normal,5,1,935,0,137000,CBlock
Single Family Residential,912,912,5,0,0,Sawyer,1964,1964,2006,WD,Normal,6,1,912,0,124000,CBlock
Single Family Residential,1236,912,5,1,288,Sawyer,1961,1994,2006,WD,Normal,6,1,1236,0,135000,CBlock
Single Family Residential,941,912,5,1,288,Sawyer,1967,1967,2006,WD,Normal,6,1,941,0,129200,CBlock
Single Family Residential,2646,1748,7,2,550,Veenker,1974,1974,2006,WD,Normal,9,2,2151,495,260000,CBlock
Single Family Residential,2417,1288,8,2,462,NoRidge,1991,1992,2006,WD,Normal,9,2,1301,1116,260000,CBlock
Single Family Residential,2826,1334,8,3,888,NoRidge,1992,1993,2006,WD,Normal,9,2,1520,1306,334000,PConc
Single Family Residential,2520,1338,8,3,796,NoRidge,1993,1993,2006,WD,Abnorml,10,2,1352,1168,310000,PConc
Single Family Residential,2295,1095,7,2,590,NoRidge,1992,2000,2006,WD,Normal,9,2,1166,1129,268000,PConc
Single Family Residential,1624,1624,8,3,757,NoRidge,1994,1995,2006,WD,Normal,5,2,1624,0,262000,PConc
Townhouse End Unit,1143,1143,7,2,588,Somerst,2004,2004,2006,WD,Normal,5,1,1143,0,176400,PConc
Townhouse End Unit,1247,1247,8,2,550,Somerst,2005,2005,2006,WD,Normal,4,1,1247,0,197000,PConc
Townhouse End Unit,1200,600,7,2,480,Somerst,2005,2005,2006,WD,Normal,4,2,520,600,151000,PConc
Twnhs,1223,600,7,2,480,Somerst,2005,2005,2006,WD,Normal,4,2,520,623,147400,PConc
Twnhs,1223,600,7,2,480,Somerst,2005,2005,2006,WD,Normal,4,2,520,623,149900,PConc
Townhouse End Unit,1200,600,7,2,480,Somerst,2005,2005,2006,WD,Abnorml,4,2,520,600,144152,PConc
Townhouse End Unit,1524,756,6,2,440,Somerst,2000,2000,2006,WD,Normal,4,2,768,756,166000,PConc
Townhouse End Unit,1452,691,7,2,506,Somerst,1999,1999,2006,WD,Normal,6,2,713,739,183900,PConc
Twnhs,1382,673,7,2,490,Somerst,2000,2000,2006,WD,Normal,6,2,673,709,165000,PConc
Townhouse End Unit,1080,530,7,2,496,Somerst,2003,2003,2006,WD,Normal,4,2,530,550,139000,PConc
Single Family Residential,1694,569,7,1,434,Somerst,1997,1998,2006,WD,Normal,6,2,854,840,200000,PConc
Single Family Residential,1568,1568,8,2,564,Somerst,2001,2002,2006,WD,Normal,6,2,1568,0,221000,PConc
Townhouse End Unit,1494,1494,8,2,481,Veenker,1995,1996,2006,WD,Normal,6,1,1494,0,270000,PConc
Single Family Residential,1208,1208,6,2,546,Veenker,1977,1977,2006,WD,Normal,6,1,1208,0,165000,CBlock
Twnhs,1235,1235,8,2,484,Greens,1980,1980,2006,WD,Normal,4,1,1235,0,214000,CBlock
Twnhs,1036,1036,8,2,484,Greens,1980,1980,2006,WD,Normal,4,1,1036,0,188000,CBlock
Townhouse End Unit,1226,1226,8,2,484,Greens,1980,1980,2006,WD,Normal,4,1,1226,0,190000,CBlock
Twnhs,1226,1226,8,2,484,Greens,1978,1978,2006,WD,Normal,4,1,1226,0,170000,CBlock
Single Family Residential,1842,1842,9,3,894,Veenker,1981,1987,2006,WD,Normal,5,0,1842,0,385000,CBlock
Two Family Conversion,1193,1153,5,2,501,NWAmes,1972,1972,2006,WD,Normal,6,2,1193,0,146500,CBlock
Single Family Residential,1920,570,7,2,487,NWAmes,1968,1992,2006,WD,Normal,8,3,1222,698,170000,CBlock
Single Family Residential,2156,1568,7,2,508,NWAmes,1968,2003,2006,WD,Normal,9,2,2156,0,262500,CBlock
Single Family Residential,1416,708,6,2,776,NWAmes,1968,1968,2006,WD,Normal,7,2,708,708,179900,CBlock
Single Family Residential,2654,1054,6,2,619,NWAmes,1968,1984,2006,WD,Normal,9,2,1512,1142,250000,CBlock
Single Family Residential,1790,732,6,2,484,NWAmes,1972,1972,2006,WD,Normal,8,1,1012,778,165150,CBlock
Single Family Residential,1334,1334,7,2,477,NWAmes,1967,1967,2006,WD,Normal,7,2,1334,0,164500,CBlock
Single Family Residential,1164,1164,7,2,528,NWAmes,1969,1969,2006,COD,Normal,6,1,1164,0,140000,CBlock
Single Family Residential,980,980,5,1,384,NAmes,1967,1967,2006,WD,Normal,6,2,980,0,135500,PConc
Single Family Residential,1051,1051,5,2,504,NAmes,1968,1968,2006,WD,Normal,6,1,1051,0,142000,CBlock
Single Family Residential,1770,900,5,2,530,NAmes,1968,1968,2006,WD,Normal,7,1,884,886,155000,CBlock
Single Family Residential,976,976,6,2,504,NAmes,1968,2004,2006,WD,Abnorml,4,1,976,0,157500,CBlock
Single Family Residential,1052,1052,5,1,288,NAmes,1968,1968,2006,WD,Normal,5,1,1052,0,138500,CBlock
Single Family Residential,898,833,5,1,326,NAmes,1968,1968,2006,WD,Normal,6,1,898,0,140000,CBlock
Single Family Residential,1051,1051,5,1,264,NAmes,1966,1966,2006,WD,Normal,6,1,1051,0,124400,CBlock
Single Family Residential,1141,1141,5,1,568,NAmes,1967,1967,2006,WD,Normal,6,1,1141,0,158000,PConc
Single Family Residential,1200,864,5,2,884,NAmes,1965,1998,2006,WD,Normal,6,1,1200,0,146000,CBlock
Single Family Residential,1993,825,6,2,495,NWAmes,1971,1971,2006,WD,Normal,8,2,1097,896,190000,CBlock
Single Family Residential,1050,1050,5,1,368,NAmes,1961,1961,2006,COD,Normal,6,1,1050,0,136500,CBlock
Single Family Residential,864,864,5,2,624,NAmes,1958,1958,2006,WD,Normal,5,1,864,0,129900,CBlock
Duplex,1712,1626,5,2,588,NAmes,1959,2005,2006,WD,Family,8,2,1712,0,145000,CBlock
Two Family Conversion,1565,1187,6,1,299,NAmes,1965,2000,2006,WD,Abnorml,7,2,1565,0,185900,PConc
Single Family Residential,1251,1251,6,1,461,NAmes,1964,1964,2006,WD,Normal,6,1,1251,0,160000,CBlock
Single Family Residential,1488,1008,6,2,430,NAmes,1964,1964,2006,WD,Normal,7,1,1488,0,167000,CBlock
Single Family Residential,1440,720,5,2,480,NAmes,1964,1964,2006,WD,Normal,7,1,720,720,157500,CBlock
Two Family Conversion,1095,588,6,1,264,NAmes,1958,1958,2006,ConLD,Normal,6,1,1095,0,140000,CBlock
Single Family Residential,1053,1008,5,2,750,NAmes,1958,1991,2006,WD,Abnorml,6,1,1053,0,150000,CBlock
Single Family Residential,1248,1248,5,1,286,NAmes,1960,1960,2006,WD,Normal,6,1,1248,0,151500,CBlock
Single Family Residential,816,816,6,1,240,NAmes,1934,1950,2006,WD,Normal,4,1,816,0,129800,CBlock
Single Family Residential,1008,1008,5,1,275,NAmes,1954,1954,2006,WD,Normal,4,1,1008,0,137000,CBlock
Single Family Residential,1043,938,5,1,273,NAmes,1947,1950,2006,WD,Normal,5,1,1043,0,137000,CBlock
Single Family Residential,1230,747,4,1,305,BrkSide,1946,1950,2006,WD,Abnorml,5,1,774,456,121600,CBlock
Single Family Residential,869,440,4,0,0,BrkSide,1923,1958,2006,WD,Normal,4,1,869,0,85500,PConc
Single Family Residential,747,600,4,2,528,BrkSide,1926,1953,2006,WD,Normal,5,1,747,0,79900,PConc
Single Family Residential,1252,504,5,2,576,BrkSide,1908,1991,2006,WD,Normal,5,1,936,316,127000,PConc
Single Family Residential,1433,1251,5,2,441,NAmes,1961,1990,2006,WD,Normal,7,1,1433,0,161000,CBlock
Single Family Residential,1624,1444,5,1,240,NAmes,1952,1952,2006,WD,Partial,6,1,1624,0,146500,CBlock
Single Family Residential,1216,1056,5,1,280,NAmes,1951,1951,2006,WD,Normal,7,1,1216,0,135000,CBlock
Single Family Residential,2136,2136,5,2,528,NAmes,1951,1951,2006,WD,Normal,7,2,2136,0,137900,CBlock
Single Family Residential,1578,806,6,1,240,NAmes,1941,1950,2006,WD,Normal,5,1,958,620,133000,CBlock
Single Family Residential,1728,704,5,1,234,NAmes,1949,1973,2006,WD,Normal,7,1,1024,704,137000,CBlock
Single Family Residential,936,936,5,1,240,NAmes,1954,1975,2006,WD,Normal,5,1,936,0,121000,CBlock
Duplex,1584,1584,5,2,506,NAmes,1967,1967,2006,WD,Normal,8,2,1584,0,119000,CBlock
Single Family Residential,1246,1246,6,2,441,NAmes,1964,1964,2006,WD,Normal,6,1,1246,0,172000,CBlock
Single Family Residential,1235,1235,5,2,480,NAmes,1961,1961,2006,WD,Abnorml,6,1,1235,0,98600,CBlock
Single Family Residential,2157,924,7,2,487,NAmes,1966,1966,2006,WD,Normal,8,2,1216,941,226000,CBlock
Single Family Residential,1128,936,5,1,286,NAmes,1954,1954,2006,WD,Family,5,1,1128,0,118000,CBlock
Single Family Residential,3112,1360,8,2,795,NAmes,1918,1990,2006,WD,Abnorml,8,2,1360,1360,235000,PConc
Single Family Residential,1008,1008,6,2,430,NAmes,1963,1963,2006,WD,Normal,5,1,1008,0,135000,CBlock
Duplex,1190,1106,5,2,540,NAmes,1962,1962,2006,WD,Normal,6,1,1190,0,132500,CBlock
Single Family Residential,1144,1144,5,1,796,NAmes,1959,1959,2006,WD,Normal,6,1,1144,0,143000,CBlock
Single Family Residential,1364,1179,5,1,331,NAmes,1957,1957,2006,WD,Normal,6,1,1364,0,132000,CBlock
Single Family Residential,1383,1383,6,1,292,NAmes,1960,1960,2006,WD,Normal,7,1,1383,0,145250,CBlock
Single Family Residential,1336,1121,6,2,488,NAmes,1958,1958,2006,WD,Normal,7,1,1336,0,162000,CBlock
Single Family Residential,1370,1058,5,1,300,NAmes,1956,1956,2006,WD,Normal,6,1,1370,0,148000,CBlock
Single Family Residential,1092,1092,5,1,299,NAmes,1957,1957,2006,WD,Normal,6,1,1092,0,141000,CBlock
Single Family Residential,1124,1124,6,1,353,NAmes,1956,1994,2006,WD,Normal,6,1,1124,0,153000,CBlock
Single Family Residential,1236,1070,5,1,447,NAmes,1957,1996,2006,WD,Normal,6,1,1236,0,134450,CBlock
Duplex,943,943,5,2,600,NAmes,1979,1979,2006,WD,Normal,4,1,943,0,135960,CBlock
Single Family Residential,1050,1050,6,1,286,NAmes,1954,2000,2006,WD,Abnorml,6,1,1050,0,156000,CBlock
Single Family Residential,1375,1367,6,2,451,NAmes,1954,1954,2006,WD,Normal,5,1,1375,0,140000,CBlock
Single Family Residential,1008,1008,5,1,280,NAmes,1952,2003,2006,WD,Normal,4,1,1008,0,139500,CBlock
Single Family Residential,1575,216,6,2,400,NAmes,1951,1951,2006,WD,Normal,5,1,1575,0,155000,CBlock
Single Family Residential,1145,301,5,2,684,NAmes,1956,1956,2006,WD,Normal,6,1,1145,0,127000,CBlock
Single Family Residential,1005,1005,5,1,319,NAmes,1956,1956,2006,WD,Normal,6,1,1005,0,133500,CBlock
Single Family Residential,1056,1056,5,1,300,NAmes,1955,1955,2006,WD,Normal,6,1,1056,0,125000,CBlock
Single Family Residential,884,884,5,1,270,NAmes,1951,1991,2006,WD,Normal,4,1,884,0,142000,CBlock
Single Family Residential,2039,929,7,3,791,NAmes,1941,1963,2006,COD,Abnorml,7,1,2039,0,167000,CBlock
Single Family Residential,1384,1015,5,2,896,NAmes,1956,2001,2006,WD,Normal,6,1,1384,0,159000,CBlock
Two Family Conversion,2640,2171,5,3,1008,OldTown,1925,1975,2006,WD,Normal,10,2,1392,1248,180000,CBlock
Single Family Residential,1312,784,6,2,649,NAmes,1947,1950,2006,WD,Normal,6,1,900,412,127000,CBlock
Single Family Residential,1310,617,6,1,398,OldTown,1924,1950,2006,COD,Normal,6,2,865,445,112000,BrkTil
Single Family Residential,713,713,3,1,371,OldTown,1930,2001,2006,WD,Normal,5,1,713,0,99800,PConc
Single Family Residential,833,833,5,1,326,OldTown,1954,2000,2006,WD,Normal,4,1,833,0,117000,CBlock
Single Family Residential,1073,1073,5,1,326,OldTown,1921,1968,2006,WD,Abnorml,4,1,1073,0,108480,BrkTil
Single Family Residential,715,715,3,2,660,NAmes,1929,1950,2006,WD,Normal,4,1,715,0,68000,CBlock
Single Family Residential,720,448,4,1,280,OldTown,1900,1998,2006,WD,Normal,5,1,448,272,86900,BrkTil
Single Family Residential,1130,1120,5,2,720,OldTown,1920,1950,2006,WD,Normal,5,1,1130,0,120000,BrkTil
Single Family Residential,1595,663,6,2,528,OldTown,1915,1950,2006,WD,Normal,7,2,774,821,155500,CBlock
Single Family Residential,1760,1077,4,2,648,OldTown,1910,1950,2006,COD,Abnorml,7,1,981,779,80000,BrkTil
Single Family Residential,1214,672,3,3,936,OldTown,1915,1950,2006,WD,Family,6,1,694,520,105000,PConc
Two Family Conversion,2414,954,5,2,520,OldTown,1900,1970,2006,ConLD,Normal,10,2,1766,648,160000,CBlock
Single Family Residential,1466,796,5,2,566,OldTown,1936,1989,2006,WD,Normal,7,2,1096,370,170000,CBlock
Single Family Residential,1324,1088,6,2,440,NAmes,1965,1965,2006,WD,Abnorml,6,2,1324,0,160000,CBlock
Single Family Residential,1086,1024,5,2,484,NAmes,1966,1966,2006,WD,Normal,6,1,1086,0,159950,CBlock
Single Family Residential,1146,1083,6,1,294,NAmes,1963,1963,2006,WD,Normal,6,1,1146,0,165000,CBlock
Single Family Residential,1734,912,6,2,440,NAmes,1962,1981,2006,WD,Normal,7,1,1085,649,159000,CBlock
Single Family Residential,1207,1135,6,1,264,NAmes,1962,1985,2006,WD,Normal,6,1,1207,0,147000,CBlock
Single Family Residential,912,912,5,1,288,NAmes,1964,1964,2006,WD,Abnorml,5,1,912,0,115000,CBlock
Single Family Residential,1194,655,6,2,539,NAmes,1959,1959,2006,WD,Normal,6,1,1194,0,159500,CBlock
Single Family Residential,864,864,6,1,288,NAmes,1959,1959,2006,WD,Abnorml,4,1,864,0,120000,CBlock
Single Family Residential,816,816,5,1,308,NAmes,1957,1957,2006,WD,Normal,5,1,816,0,129900,CBlock
Single Family Residential,1773,1313,6,2,418,NAmes,1961,1992,2006,WD,Normal,6,2,1773,0,183000,CBlock
Single Family Residential,1472,0,7,2,484,NAmes,1959,1959,2006,WD,Normal,5,2,1472,0,157500,Slab
Single Family Residential,2448,1438,7,2,441,NAmes,1962,1998,2006,WD,Normal,9,3,1900,548,277500,CBlock
Single Family Residential,1600,1484,5,1,319,NAmes,1957,1997,2006,WD,Normal,6,1,1600,0,207500,CBlock
Single Family Residential,1521,910,4,1,597,NAmes,1950,1950,2006,WD,Normal,6,1,910,611,147500,CBlock
Single Family Residential,1192,720,4,0,0,NAmes,1949,1950,2006,WD,Abnorml,6,1,720,472,135000,CBlock
Single Family Residential,1040,0,5,2,625,NAmes,1950,1950,2006,WD,Normal,5,1,1040,0,109500,CBlock
Single Family Residential,1040,0,4,2,420,NAmes,1950,1950,2006,WD,Normal,4,1,1040,0,109900,Slab
Single Family Residential,1040,1040,5,1,286,NAmes,1959,1959,2006,WD,Normal,6,1,1040,0,133700,CBlock
Duplex,1040,0,3,2,400,NAmes,1950,1950,2006,WD,Normal,6,2,1040,0,81400,Slab
Duplex,1040,0,3,2,400,NAmes,1949,1950,2006,WD,Normal,6,2,1040,0,87500,Slab
Duplex,1040,0,3,2,400,NAmes,1950,1950,2006,WD,Normal,6,2,1040,0,93500,CBlock
Duplex,1556,1556,5,0,0,NAmes,1960,1960,2006,WD,Normal,8,2,1556,0,119000,CBlock
Single Family Residential,1150,1150,5,1,300,NAmes,1959,1959,2006,WD,Normal,6,1,1150,0,141000,CBlock
Single Family Residential,1150,1150,5,1,288,NAmes,1961,1961,2006,WD,Normal,6,1,1150,0,146000,CBlock
Single Family Residential,1348,660,6,2,453,NAmes,1966,1966,2006,WD,Normal,6,1,660,688,155000,CBlock
Single Family Residential,999,925,5,1,300,NAmes,1962,1962,2006,WD,Normal,6,1,999,0,134500,CBlock
Single Family Residential,1045,1045,7,2,528,NAmes,1962,1962,2006,WD,Normal,6,1,1045,0,120000,CBlock
Single Family Residential,864,864,5,1,336,NAmes,1962,1962,2006,WD,Normal,5,1,864,0,105000,CBlock
Two Family Conversion,1025,1025,5,0,0,NAmes,1962,1962,2006,WD,Normal,6,1,1025,0,124000,CBlock
Single Family Residential,2014,716,5,2,624,OldTown,1900,2005,2006,WD,Normal,8,2,1007,1007,169000,PConc
Single Family Residential,1328,686,4,1,210,OldTown,1925,1950,2006,WD,Family,8,1,810,518,107000,CBlock
Single Family Residential,1668,1212,5,1,240,OldTown,1948,1950,2006,WD,Normal,6,1,1226,442,135000,CBlock
Single Family Residential,1657,1147,4,1,162,OldTown,1920,1980,2006,WD,Normal,9,1,1147,510,111500,PConc
Single Family Residential,1416,780,6,2,400,OldTown,1900,2004,2006,WD,Normal,7,1,940,476,156500,BrkTil
Single Family Residential,1641,728,7,2,546,OldTown,1925,1990,2006,WD,Normal,6,1,832,809,178000,BrkTil
Single Family Residential,1428,712,7,2,576,OldTown,1900,1970,2006,WD,Normal,7,1,848,580,139900,Stone
Single Family Residential,1004,502,7,1,200,OldTown,1930,1950,2006,WD,Normal,5,1,502,502,105000,BrkTil
Single Family Residential,813,813,6,1,270,OldTown,1930,2005,2006,WD,Normal,5,1,813,0,110000,BrkTil
Two Family Conversion,1951,938,4,2,576,OldTown,1900,1950,2006,WD,Normal,9,2,1084,867,111500,PConc
Single Family Residential,1032,1032,6,1,280,OldTown,1924,1950,2006,COD,Abnorml,5,1,1032,0,108000,BrkTil
Single Family Residential,844,844,5,1,216,OldTown,1925,1950,2006,WD,Normal,5,1,844,0,111500,BrkTil
Single Family Residential,1750,636,5,1,240,OldTown,1880,1991,2006,WD,Abnorml,8,1,1089,661,124000,BrkTil
Single Family Residential,864,576,4,1,528,OldTown,1950,1950,2006,COD,Normal,5,1,864,0,105000,CBlock
Single Family Residential,1118,648,6,2,440,OldTown,1920,1950,2006,WD,Normal,6,1,734,384,116000,BrkTil
Single Family Residential,1376,738,3,1,216,OldTown,1905,1950,2006,WD,Normal,7,1,714,662,96900,BrkTil
Two Family Conversion,960,960,5,2,576,OldTown,1955,1955,2006,WD,Normal,5,1,960,0,135500,CBlock
Single Family Residential,1566,816,5,2,450,OldTown,1924,1950,2006,WD,Normal,7,1,816,750,139000,PConc
Single Family Residential,492,492,3,1,200,OldTown,1921,1950,2006,WD,Normal,3,1,492,0,61500,BrkTil
Single Family Residential,1182,770,6,1,378,OldTown,1945,1950,2006,WD,Normal,5,1,885,297,120000,CBlock
Single Family Residential,1163,1162,3,1,220,OldTown,1955,2005,2006,WD,Normal,6,1,1163,0,126175,CBlock
Single Family Residential,840,798,3,1,250,OldTown,1920,1950,2006,WD,Normal,5,1,840,0,64000,PConc
Two Family Conversion,1928,1020,6,1,440,OldTown,1910,1950,2006,WD,Normal,9,2,908,1020,137000,Stone
Single Family Residential,1774,1095,4,3,779,OldTown,1900,1950,2006,WD,Normal,8,2,1095,679,87000,BrkTil
Single Family Residential,1768,880,7,2,320,OldTown,1914,1970,2006,WD,Normal,6,1,880,888,163000,BrkTil
Single Family Residential,2104,1226,7,2,432,OldTown,1910,2005,2006,WD,Normal,9,2,1226,878,155000,BrkTil
Single Family Residential,1440,540,5,1,352,OldTown,1900,1950,2006,WD,Normal,6,1,889,551,79000,BrkTil
Single Family Residential,1690,815,7,1,225,OldTown,1916,1950,2006,ConLw,Normal,7,1,815,875,144000,BrkTil
Single Family Residential,1368,684,6,1,216,OldTown,1910,1993,2006,WD,Normal,7,1,684,684,114504,CBlock
Single Family Residential,1762,596,7,2,576,OldTown,1920,1950,2006,WD,Normal,8,1,998,764,157000,BrkTil
Single Family Residential,1200,1200,6,1,312,OldTown,1923,1950,2006,WD,Family,7,1,1200,0,125000,BrkTil
Single Family Residential,3608,1107,10,3,840,OldTown,1892,1993,2006,WD,Normal,12,2,1518,1518,475000,BrkTil
Duplex,1248,624,5,0,0,OldTown,1920,1950,2006,WD,Normal,8,2,624,624,93500,PConc
Single Family Residential,960,960,5,2,624,OldTown,1958,1958,2006,WD,Normal,5,1,960,0,125000,CBlock
